dimension_matriz_n,tamano_bloque_b,numero_hilos_t,tiempo_medio,GFlops
512, 4, 4, 0.0686671005, 3.9054119083
512, 4, 8, 0.0465755600, 5.7578118653
512, 4, 16, 0.0377636950, 7.1013525557
512, 16, 4, 0.0682332522, 3.9302437325
512, 16, 8, 0.0429147693, 6.2489748095
512, 16, 16, 0.0304298545, 8.8128358287
512, 32, 4, 0.0672924210, 3.9851933994
512, 32, 8, 0.0513256262, 5.2249398905
512, 32, 16, 0.0295383802, 9.0788089845
1024, 4, 4, 0.6027105002, 3.5613035962
1024, 4, 8, 0.4002400185, 5.3628697101
1024, 4, 16, 0.3136636567, 6.8431105288
1024, 16, 4, 0.6155689925, 3.4869122684
1024, 16, 8, 0.3929065193, 5.4629662956
1024, 16, 16, 0.3111117778, 6.8992408051
1024, 32, 4, 0.6372273012, 3.3683978508
1024, 32, 8, 0.4062534587, 5.2834875021
1024, 32, 16, 0.3495695250, 6.1402236708
2048, 4, 4, 18.4816239238, 0.9293379711
2048, 4, 8, 7.7385156698, 2.2195050851
2048, 4, 16, 5.0387662272, 3.4087064383
2048, 16, 4, 6.4050866963, 2.6815678998
2048, 16, 8, 3.9116237318, 4.3909322721
2048, 16, 16, 4.2693399580, 4.0230281610
2048, 32, 4, 5.7886773617, 2.9671155960
2048, 32, 8, 4.5557943662, 3.7700724614
2048, 32, 16, 4.1834253975, 4.1056486606
