dimension_matriz_n,tamano_bloque_b,numero_hilos_t,tiempo_medio,GFlops
512, 4, 4, 0.0711127485, 3.7711003675
512, 4, 8, 0.0683577855, 3.9230836698
512, 4, 16, 0.0566414548, 4.7345767015
512, 16, 4, 0.0728577945, 3.6807772434
512, 16, 8, 0.0647942960, 4.1388413573
512, 16, 16, 0.0486711982, 5.5098974680
512, 32, 4, 0.0728858550, 3.6793601721
512, 32, 8, 0.0647344750, 4.1426660524
512, 32, 16, 0.0506020407, 5.2996540856
1024, 4, 4, 0.6321976448, 3.3951962489
1024, 4, 8, 0.5042128362, 4.2570020390
1024, 4, 16, 0.4123375878, 5.2055285178
1024, 16, 4, 0.6615675888, 3.2444683030
1024, 16, 8, 0.4816370427, 4.4565406758
1024, 16, 16, 0.4042537492, 5.3096231661
1024, 32, 4, 0.6622273510, 3.2412359120
1024, 32, 8, 0.5093320608, 4.2142155136
1024, 32, 16, 0.3969034797, 5.4079522642
2048, 4, 4, 10.0397089960, 1.7107741755
2048, 4, 8, 6.6292934932, 2.5908756186
2048, 4, 16, 4.9576729412, 3.4644630825
2048, 16, 4, 7.9343907025, 2.1647125185
2048, 16, 8, 4.9597366543, 3.4630215427
2048, 16, 16, 4.4453087198, 3.8637754907
2048, 32, 4, 5.6742786520, 3.0269353927
2048, 32, 8, 4.1961327610, 4.0932153147
2048, 32, 16, 4.3350600998, 3.9620384689
