dimension_matriz_n,numero_filas_consecutivas_F,numero_hilos_t,tiempo_medio,GFlops
512, 1, 1, 0.2788819890, 0.9616014034
512, 1, 4, 0.0679116775, 3.9488541864
512, 1, 8, 0.0733138125, 3.6578825034
512, 1, 16, 0.0505660072, 5.3034306362
512, 4, 1, 0.2728587290, 0.9828284145
512, 4, 4, 0.0716906780, 3.7406998996
512, 4, 8, 0.0661095355, 4.0564997163
512, 4, 16, 0.0509689538, 5.2615031754
512, 16, 1, 0.2657343240, 1.0091782949
512, 16, 4, 0.0705873763, 3.7991681551
512, 16, 8, 0.0719084242, 3.7293726680
512, 16, 16, 0.0502287245, 5.3390428419
512, 32, 1, 0.2492681560, 1.0758426439
512, 32, 4, 0.0689595845, 3.8888475611
512, 32, 8, 0.0744850645, 3.6003635601
512, 32, 16, 0.0499839308, 5.3651905318
1024, 1, 1, 2.1949288113, 0.9779064638
1024, 1, 4, 0.6249521733, 3.4345589373
1024, 1, 8, 0.4836379482, 4.4381030888
1024, 1, 16, 0.3964428448, 5.4142358739
1024, 4, 1, 2.3033785153, 0.9318638069
1024, 4, 4, 0.6207524207, 3.4577957335
1024, 4, 8, 0.4891989655, 4.3876525164
1024, 4, 16, 0.3892467315, 5.5143303676
1024, 16, 1, 2.3519329625, 0.9126259576
1024, 16, 4, 0.6219371180, 3.4512091494
1024, 16, 8, 0.5037445812, 4.2609591287
1024, 16, 16, 0.3942027908, 5.4450022231
1024, 32, 1, 2.3416908338, 0.9166176171
1024, 32, 4, 0.6219516548, 3.4511284850
1024, 32, 8, 0.5102850158, 4.2063454849
1024, 32, 16, 0.3845025958, 5.5823682225
2048, 1, 1, 58.7594852837, 0.2923047198
2048, 1, 4, 10.1957129172, 1.6845977343
2048, 1, 8, 7.1791424060, 2.3924410339
2048, 1, 16, 5.5857958655, 3.0748840977
2048, 4, 1, 38.3160789875, 0.4482628529
2048, 4, 4, 8.0101904345, 2.1442280331
2048, 4, 8, 5.7739998227, 2.9746580200
2048, 4, 16, 5.6267233602, 3.0525180963
2048, 16, 1, 35.4919690980, 0.4839313038
2048, 16, 4, 6.4075675173, 2.6805296758
2048, 16, 8, 5.8256707790, 2.9482742042
2048, 16, 16, 4.6104912557, 3.7253459398
2048, 32, 1, 43.1175813862, 0.3983450446
2048, 32, 4, 7.3008006533, 2.3525741485
2048, 32, 8, 6.1996634782, 2.7704205140
2048, 32, 16, 4.6074083837, 3.7278386133
